food,Calorie,Fat,Carbohydrates,Protein,Water
cream cheese,51,5,0.8,0.9,7.6
neufchatel cheese,215,19.4,3.1,7.8,53.6
requeijao cremoso light catupiry,49,3.6,0.9,0.8,0
ricotta cheese,30,2,1.5,1.5,14.7
cream cheese low fat,30,2.3,1.2,1.2,10
cream cheese fat free,19,0.2,1.4,2.8,12.9
gruyere cheese,116,9.1,0.1,8.3,9.3
cheddar cheese,113,9.3,0.9,6.4,10.3
parmesan cheese,71,4.5,0.6,6.4,5.4
romano cheese,19,1.3,0.2,1.6,1.5
parmesan cheese grated,21,1.4,0.7,1.4,1.1
port salut cheese,465,37.2,0.8,31.4,60
swiss cheese,98,7.7,0.4,6.7,9.4
goat cheese hard,128,10.1,0.6,8.6,8.2
gouda cheese,100,7.7,0.6,7,11.6
pepper jack cheese lucerne,75,6,0,5,0
caraway cheese,106,8.3,0.9,7.1,11.1
gjetost cheese,1058,67,96.8,21.9,30.5
tilsit cheese,136,10.4,0.8,9.8,17.1
goat cheese,103,8.4,0.009,6.1,12.9
brick cheese,111,8.9,0.8,7,12.3
asadero cheese,402,31.9,3.2,25.5,47.6
camembert cheese,90,7.3,0.1,5.9,15.5
provolone cheese reduced fat,310,19.9,4,27.9,57.2
roquefort cheese,314,26,1.7,18.3,33.5
queso blanco cheese,366,28.7,3,24,57.5
queso seco cheese,315,23.6,2,23.8,40.9
goat cheese soft,75,6,0,5.2,17.2
mozzarella cheese,90,6.6,0.7,6.7,15
chihuahua cheese,494,39.2,7.3,28.5,51.7
limburger cheese,98,8.2,0.1,6,14.5
muenster cheese,486,39.7,1.5,30.9,55.1
queso fresco cheese,365,29.1,3.6,22.1,62.7
brie cheese,100,8.3,0.1,6.2,14.5
pimento cheese,525,43.7,2.4,31,54.7
mexican cheese,316,21.7,3.8,27.7,54
feta cheese,80,6.4,1.2,4.3,16.6
mozzarella cheese fat free,159,0,4,35.8,68
provolone cheese,463,35.1,2.8,33.8,54.1
anejo cheese,492,39.6,6.1,28.3,50.2
honey,64,0,17.3,0.08,3.6
apple butter,35,0.063,8.5,0.045,11.3
fruit jam,56,0.095,13.8,0,6.1
chocolate hazelnut spread,100,5.5,11.5,1,0.2
peanut butter,88,7.4,3.6,3.3,0.2
peanut spread,101,8.5,2.2,3.8,0.3
chicken spread,88,9.8,2.3,10.1,32.1
cheese spread,708,68.6,8.4,17,140.4
tahini,86,7.2,3.9,2.7,0.5
orange marmalade,49,0,13.3,0.014,6.6
american cheese spread,46,3.4,1.4,2.6,7.6
apricot jam,48,0.01,12.9,0.1,6.9
chunky peanut butter,94,8,3.5,3.8,0.2
ham and cheese spread,37,2.8,0.3,2.4,8.9
chicken and rice casserole homade,27,1,2.4,2,0
picnic loaf,65,4.7,1.3,4.2,16.9
corn tamale,309,12,44.3,5.8,101.8
baked potato with cheese sauce bacon,451,25.9,44.4,18.4,194.4
chinese egg roll,223,10.6,24.3,7.4,45
butter croissant,231,12,26.1,4.7,13.2
enchilada with cheese beef,323,17.6,30.5,11.9,128.4
corned beef hash with potatoes,387,24.2,21.9,20.6,166
